"Country_Name","Country_Code","Land_Area","Avg_Revenue"
"Thailand","THA",510890,41907454545.4545
"Tajikistan","TJK",138790,180481820.539995
"Turkmenistan","TKM",469930,71690000
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",19912693,NA
"Timor-Leste","TLS",14870,4.3e+07
"Middle East & North Africa (IDA & IBRD countries)","TMN",8628823,NA
"Tonga","TON",720,43236363.4976474
"South Asia (IDA & IBRD)","TSA",4770120,NA
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",23890863.09,NA
"Trinidad and Tobago","TTO",5130,660909090.909091
"Tunisia","TUN",155360,2382636363.63636
"Turkiye","TUR",769630,32029181818.1818
"Tuvalu","TUV",30,2475000
"Tanzania","TZA",885800,1982950000
"Uganda","UGA",200520,1040090909.09091
"Ukraine","UKR",579400,3203636363.63636
"Upper middle income","UMC",54869206.47,NA
"Uruguay","URY",175020,2.305e+09
"United States","USA",9147420,202748818181.818
"Uzbekistan","UZB",440653,878571428.571429
"St. Vincent and the Grenadines","VCT",390,199614286.150251
"Venezuela, RB","VEN",882050,8.03e+08
"British Virgin Islands","VGB",150,423166666.666667
"Virgin Islands (U.S.)","VIR",350,1147363636.36364
"Viet Nam","VNM",313429,7413818181.81818
"Vanuatu","VUT",12190,260181818.181818
"World","WLD",129777684.1,NA
"Samoa","WSM",2780,142841816.468672
"Kosovo","XKX",NA,NA
"Yemen, Rep.","YEM",527970,819142857.142857
"South Africa","ZAF",1213090,9308272727.27273
"Zambia","ZMB",743390,79000000
"Zimbabwe","ZWE",386850,175181818.181818
